ISO_A3,Country or region,World Bank Region,Yearly_ave (PVOUT Level 1 kWh/kWp/day),Yearly_median (PVOUT Level 1 kWh/kWp/day)
ABW,Aruba (Neth.),Other,4.96,4.90
AFG,Afghanistan,SOA,5.02,5.32
AGO,Angola,AFR,4.66,4.64
ALB,Albania,ECA,4.04,4.17
AND,Andorra,Other,4.20,4.69
ARE,United Arab Emirates,MENA,5.00,5.05
ARG,Argentina,LCR,4.60,4.82
ARM,Armenia,ECA,4.11,4.07
ASM,American Samoa (U.S.),Other,3.98,4.09
ATG,Antigua and Barbuda,LCR,4.77,4.71
AUS,Australia,Other,4.71,4.89
AUT,Austria,Other,3.26,3.54
AZE,Azerbaijan,ECA,3.82,3.86
BDI,Burundi,AFR,4.17,4.10
BEL,Belgium,Other,2.92,3.18
BEN,Benin,AFR,4.20,4.28
BFA,Burkina Faso,AFR,4.57,4.57
BGD,Bangladesh,SOA,3.88,3.84
BGR,Bulgaria,ECA,3.70,3.92
BHR,Bahrain,MENA,4.87,5.00
BHS,The Bahamas,LCR,4.55,4.61
BIH,Bosnia and Herzegovina,ECA,3.57,3.78
BLR,Belarus,ECA,2.95,3.25
BLZ,Belize,LCR,4.18,4.27
BMU,Bermuda (U.K.),Other,4.18,4.44
BOL,Bolivia,LCR,4.94,4.96
BRA,Brazil,LCR,4.40,4.36
BRB,Barbados,LCR,4.72,4.73
BRN,Brunei Darussalam,Other,3.90,3.91
BTN,Bhutan,SOA,3.92,3.96
BWA,Botswana,AFR,5.11,5.14
CAF,Central African Republic,AFR,4.47,4.42
CAN,Canada,Other,3.82,4.27
CHE,Switzerland,Other,3.36,3.79
CHL,Chile,LCR,5.36,5.67
CHN,China,EAP,3.88,3.95
CIV,Côte d'Ivoire,AFR,4.00,4.19
CMR,Cameroon,AFR,4.28,4.27
COD,Democratic Republic of Congo,AFR,4.26,4.31
COG,Congo,AFR,3.77,3.68
COL,Colombia,LCR,4.05,4.06
COM,Comoros,AFR,4.29,4.28
CPV,Cabo Verde,AFR,4.68,4.58
CRI,Costa Rica,LCR,4.09,3.93
CUB,Cuba,Other,4.54,4.61
CUW,Curaçao (Neth.),Other,4.83,4.82
CYM,Cayman Islands (U.K.),Other,4.63,4.71
CYP,Cyprus,ECA,4.70,4.85
CZE,Czech Republic,ECA,3.05,3.29
DEU,Germany,Other,2.96,3.21
DJI,Djibouti,MENA,4.80,4.94
DMA,Dominica,LCR,3.97,4.02
DNK,Denmark,Other,2.84,3.03
DOM,Dominican Republic,LCR,4.57,4.56
DZA,Algeria,MENA,4.92,5.03
ECU,Ecuador,LCR,3.40,3.39
EGY,Arab Republic of Egypt,MENA,5.25,5.50
ERI,Eritrea,AFR,4.89,5.12
ESP,Spain,Other,4.41,4.74
EST,Estonia,ECA,2.84,3.11
ETH,Ethiopia,AFR,4.70,4.70
FJI,Fiji,EAP,3.82,3.85
FRA,France,Other,3.39,3.77
FSM,Federated States of Micronesia,EAP,3.89,3.88
GAB,Gabon,AFR,3.60,3.67
GBR,United Kingdom,Other,2.61,2.76
GEO,Georgia,ECA,3.71,3.75
GHA,Ghana,AFR,4.02,4.19
GIN,Guinea,AFR,4.44,4.54
GMB,The Gambia,AFR,4.57,4.63
GNB,Guinea-Bissau,AFR,4.46,4.57
GNQ,Equatorial Guinea,AFR,3.67,3.67
GRC,Greece,Other,4.14,4.32
GRD,Grenada,LCR,4.45,4.46
GTM,Guatemala,LCR,4.39,4.30
GUM,Guam (U.S.),Other,4.53,4.54
GUY,Guyana,LCR,4.20,4.06
HKG,Hong Kong. SAR,EAP,3.27,3.26
HND,Honduras,LCR,4.26,4.25
HRV,Croatia,ECA,3.63,3.87
HTI,Haiti,LCR,4.68,4.66
HUN,Hungary,ECA,3.44,3.71
IDN,Indonesia,EAP,3.77,3.79
IMN,Isle of Man (U.K.),Other,2.76,2.86
IND,India,SOA,4.32,4.47
IRL,Ireland,Other,2.51,2.65
IRN,Islamic Republic of Iran,MENA,4.92,5.05
IRQ,Iraq,MENA,4.68,4.85
ISR,Israel,Other,5.08,5.30
ITA,Italy,Other,3.99,4.25
JAM,Jamaica,LCR,4.39,4.40
JOR,Jordan,MENA,5.32,5.57
JPN,Japan,Other,3.45,3.55
KAZ,Kazakhstan,ECA,3.69,4.22
KEN,Kenya,AFR,4.50,4.53
KGZ,Kyrgyz Republic,ECA,4.11,4.34
KHM,Cambodia,EAP,4.13,4.17
KIR,Kiribati,EAP,4.82,4.83
KNA,Saint Kitts and Nevis,LCR,4.65,4.59
KOR,Republic of Korea,EAP,3.82,3.79
KWT,Kuwait,MENA,4.82,4.89
LAO,Lao People's Democratic Republic,EAP,3.87,4.07
LBN,Lebanon,MENA,4.83,5.00
LBR,Liberia,AFR,3.88,4.05
LBY,Libya,MENA,5.12,5.28
LCA,Saint Lucia,LCR,4.52,4.50
LIE,Liechtenstein,Other,3.25,3.62
LKA,Sri Lanka,SOA,4.21,4.19
LSO,Lesotho,AFR,5.13,5.06
LTU,Lithuania,ECA,2.87,3.18
LUX,Luxembourg,Other,2.95,3.30
LVA,Latvia,ECA,2.85,3.13
MAC,Macau. SAR,EAP,3.40,3.45
MAR,Morocco,MENA,5.01,5.12
MDA,Moldova,ECA,3.45,3.72
MDG,Madagascar,AFR,4.76,4.71
MDV,Maldives,SOA,4.44,4.35
MEX,Mexico,LCR,4.92,4.80
MHL,Marshall Islands,EAP,4.24,4.24
MKD,North Macedonia,ECA,3.88,4.07
MLI,Mali,AFR,4.68,4.79
MLT,Malta,MENA,4.56,4.74
MMR,Myanmar,EAP,4.14,4.30
MNE,Montenegro,ECA,3.82,4.00
MNG,Mongolia,EAP,4.76,4.88
MNP,Northern Mariana Islands (U.S.),Other,4.65,4.65
MOZ,Mozambique,AFR,4.44,4.44
MRT,Mauritania,AFR,4.75,4.72
MUS,Mauritius,AFR,4.21,4.39
MWI,Malawi,AFR,4.60,4.57
MYS,Malaysia,EAP,3.74,3.76
NAM,Namibia,AFR,5.38,5.37
NCL,New Caledonia (Fr.),Other,3.98,4.02
NER,Niger,AFR,4.84,4.91
NGA,Nigeria,AFR,4.30,4.34
NIC,Nicaragua,LCR,4.11,4.04
NLD,Netherlands,Other,2.86,3.06
NOR,Norway,Other,2.76,2.98
NPL,Nepal,SOA,4.00,3.91
NRU,Nauru,EAP,4.65,4.66
NZL,New Zealand,Other,3.68,3.86
OMN,Oman,MENA,5.17,5.28
PAK,Pakistan,SOA,4.71,4.68
PAN,Panama,LCR,3.97,3.74
PER,Peru,LCR,4.90,5.02
PHL,Philippines,EAP,3.93,3.82
PLW,Palau,EAP,4.01,4.02
PNG,Papua New Guinea,EAP,3.69,3.77
POL,Poland,ECA,2.98,3.25
PRI,Puerto Rico (U.S.),Other,4.40,4.37
PRK,D. P. R. of Korea,Other,3.92,4.09
PRT,Portugal,Other,4.32,4.56
PRY,Paraguay,LCR,4.28,4.35
PSE,West Bank and Gaza,MENA,4.93,5.11
PYF,French Polynesia (Fr.),Other,4.39,4.47
QAT,Qatar,MENA,4.92,4.98
ROU,Romania,ECA,3.52,3.80
RUS,Russian Federation,ECA,3.36,3.74
RWA,Rwanda,AFR,4.10,4.10
SAU,Saudi Arabia,MENA,5.16,5.16
SDN,Sudan,AFR,4.94,5.09
SEN,Senegal,AFR,4.58,4.63
SGP,Singapore,Other,3.55,3.52
SLB,Solomon Islands,EAP,3.69,3.83
SLE,Sierra Leone,AFR,4.09,4.22
SLV,El Salvador,LCR,4.83,4.75
SMR,San Marino,Other,3.76,4.07
SOM,Somalia,AFR,4.76,4.81
SRB,Serbia,ECA,3.52,3.75
SSD,South Sudan,AFR,4.46,4.45
STP,São Tomé and Príncipe,AFR,3.47,3.38
SUR,Suriname,LCR,4.27,4.13
SVK,Slovakia,ECA,3.27,3.56
SVN,Slovenia,ECA,3.43,3.68
SWE,Sweden,Other,2.84,3.17
SWZ,Eswatini,AFR,4.32,4.39
SXM,Sint Maarten (Neth.),Other,4.87,4.81
SYC,Seychelles,AFR,4.35,4.42
SYR,Syrian Arab Republic,MENA,4.85,5.04
TCA,Turks and Caicos Islands (U.K.),Other,4.72,4.78
TCD,Chad,AFR,4.84,4.90
TGO,Togo,AFR,4.12,4.21
THA,Thailand,EAP,4.06,4.15
TJK,Tajikistan,ECA,4.34,4.62
TKM,Turkmenistan,ECA,4.37,4.53
TLS,Timor-Leste,EAP,4.34,4.14
TON,Tonga,EAP,4.01,4.19
TTO,Trinidad and Tobago,LCR,4.35,4.35
TUN,Tunisia,MENA,4.74,4.89
TUR,Turkey,ECA,4.32,4.39
TUV,Tuvalu,EAP,4.27,4.27
TZA,Tanzania,AFR,4.51,4.46
UGA,Uganda,AFR,4.46,4.50
UKR,Ukraine,ECA,3.30,3.57
URY,Uruguay,LCR,4.30,4.43
USA,United States of America,Other,4.36,4.67
UZB,Uzbekistan,ECA,4.27,4.48
VCT,Saint Vincent and the Grenadines,LCR,4.27,4.28
VEN,R. B. de Venezuela,LCR,4.35,4.38
VGB,British Virgin Islands (U.K.),Other,4.85,4.82
VIR,United States Virgin Islands (U.S.),Other,4.75,4.73
VNM,Vietnam,EAP,3.55,3.57
VUT,Vanuatu,EAP,3.53,3.61
WSM,Samoa,EAP,4.05,4.10
XKO,Kosovo,ECA,3.70,3.88
YEM,Republic of Yemen,MENA,5.21,5.48
ZAF,South Africa,AFR,5.00,5.05
ZMB,Zambia,AFR,4.83,5.02
ZWE,Zimbabwe,AFR,4.86,4.89
